Frame,Emotion
0,Neutral
1,Neutral
2,Neutral
3,Neutral
4,Neutral
5,Neutral
6,Neutral
7,Neutral
8,Neutral
9,Neutral
10,Neutral
11,Neutral
12,Neutral
13,Neutral
14,Neutral
15,Neutral
16,Neutral
17,Neutral
18,Neutral
19,Neutral
20,Neutral
21,Neutral
22,Neutral
23,Neutral
24,Neutral
25,Neutral
26,Neutral
27,Neutral
28,Neutral
29,Neutral
30,Neutral
31,Neutral
32,Neutral
33,Neutral
34,Neutral
35,Neutral
36,Neutral
37,Neutral
38,Neutral
39,Neutral
40,Neutral
41,Neutral
42,Neutral
43,Neutral
44,Neutral
45,Neutral
46,Neutral
47,Neutral
48,Neutral
49,Neutral
50,Neutral
51,Neutral
52,Neutral
53,Neutral
54,Neutral
55,Neutral
56,Neutral
57,Neutral
58,Neutral
59,Neutral
60,Neutral
61,Neutral
62,Neutral
63,Neutral
64,Neutral
65,Neutral
66,Neutral
67,Neutral
68,Contempt
69,Happy
70,Happy
71,Happy
72,Happy
73,Happy
74,Happy
75,Happy
76,Happy
77,Happy
78,Happy
79,Happy
80,Happy
81,Happy
82,Happy
83,Happy
84,Happy
85,Happy
86,Happy
87,Happy
88,Happy
89,Happy
90,Happy
91,Happy
92,Happy
93,Happy
94,Happy
95,Happy
96,Happy
97,Happy
98,Happy
99,Happy
100,Happy
101,Happy
102,Happy
103,Happy
104,Happy
105,Happy
106,Happy
107,Happy
108,Happy
109,Happy
110,Happy
111,Happy
112,Happy
113,Happy
114,Happy
115,Happy
116,Happy
117,Happy
118,Happy
119,Happy
120,Happy
121,Happy
122,Happy
123,Happy
124,Happy
125,Happy
126,Happy
127,Happy
128,Happy
129,Happy
130,Happy
131,Happy
132,Happy
133,Happy
134,Happy
135,Happy
136,Happy
137,Happy
138,Happy
139,Happy
140,Happy
141,Happy
142,Happy
143,Happy
144,Happy
145,Happy
146,Happy
147,Happy
148,Happy
149,Happy
150,Happy
151,Happy
152,Happy
153,Happy
154,Happy
155,Neutral
156,Neutral
157,Neutral
158,Neutral
159,Sad
160,Neutral
161,Neutral
162,Neutral
163,Neutral
164,Neutral
165,Neutral
166,Neutral
167,Neutral
168,Neutral
169,Neutral
170,Neutral
171,Neutral
172,Neutral
173,Neutral
174,Neutral
175,Neutral
176,Neutral
177,Neutral
178,Neutral
179,Neutral
180,Neutral
181,Neutral
182,Neutral
183,Neutral
184,Neutral
185,Neutral
186,Neutral
187,Neutral
188,Neutral
189,Neutral
190,Neutral
191,Neutral
192,Neutral
193,Neutral
194,Neutral
195,Neutral
196,Neutral
197,Neutral
198,Neutral
199,Neutral
200,Neutral
201,Neutral
202,Neutral
203,Neutral
204,Sad
205,Sad
206,Anger
207,Anger
208,Anger
209,Anger
210,Anger
211,Anger
212,Anger
213,Anger
214,Anger
215,Fear
216,Anger
217,Anger
218,Anger
219,Anger
220,Anger
221,Anger
222,Anger
223,Anger
224,Anger
225,Anger
226,Anger
227,Anger
228,Anger
229,Anger
230,Anger
231,Anger
232,Anger
233,Anger
234,Anger
235,Anger
236,Anger
237,Anger
238,Anger
239,Anger
240,Anger
241,Anger
242,Anger
243,Anger
244,Anger
245,Anger
246,Anger
247,Anger
248,Anger
249,Anger
250,Anger
251,Anger
252,Anger
253,Anger
254,Anger
255,Anger
256,Anger
257,Anger
258,Anger
259,Anger
260,Anger
261,Anger
262,Anger
263,Anger
264,Anger
265,Anger
266,Anger
267,Anger
268,Anger
269,Anger
270,Anger
271,Sad
272,Anger
273,Anger
274,Anger
275,Anger
276,Sad
277,Sad
278,Sad
279,Sad
280,Sad
281,Sad
282,Sad
283,Sad
284,Neutral
285,Sad
286,Sad
287,Sad
288,Neutral
289,Neutral
290,Neutral
291,Neutral
292,Neutral
293,Neutral
294,Neutral
295,Neutral
296,Neutral
297,Neutral
298,Neutral
299,Neutral
300,Neutral
301,Sad
302,Sad
303,Sad
304,Sad
305,Sad
306,Sad
307,Sad
308,Sad
309,Sad
310,Sad
311,Sad
312,Sad
313,Sad
314,Sad
315,Sad
316,Sad
317,Sad
318,Sad
319,Sad
320,Sad
321,Sad
322,Sad
323,Sad
324,Sad
325,Sad
326,Sad
327,Sad
328,Sad
329,Sad
330,Sad
331,Sad
332,Sad
333,Sad
334,Sad
335,Sad
336,Sad
337,Sad
338,Sad
339,Sad
340,Sad
341,Sad
342,Sad
343,Sad
344,Sad
345,Sad
346,Sad
347,Sad
348,Sad
349,Sad
350,Sad
351,Sad
352,Sad
353,Sad
354,Sad
355,Sad
356,Sad
357,Sad
358,Sad
359,Sad
360,Sad
361,Sad
362,Sad
363,Sad
364,Sad
365,Sad
366,Sad
367,Neutral
368,Neutral
369,Neutral
370,Sad
371,Neutral
372,Neutral
373,Neutral
374,Neutral
375,Sad
376,Sad
377,Disgust
378,Disgust
379,Disgust
380,Disgust
381,Disgust
382,Disgust
383,Disgust
384,Disgust
385,Disgust
386,Disgust
387,Disgust
388,Disgust
389,Disgust
390,Disgust
391,Disgust
392,Disgust
393,Disgust
394,Disgust
395,Disgust
396,Disgust
397,Disgust
398,Disgust
399,Disgust
400,Disgust
401,Disgust
402,Disgust
403,Disgust
404,Disgust
405,Disgust
406,Disgust
407,Disgust
408,Disgust
409,Disgust
410,Disgust
411,Disgust
412,Disgust
413,Disgust
414,Disgust
415,Disgust
416,Disgust
417,Disgust
418,Disgust
419,Disgust
420,Disgust
421,Disgust
422,Disgust
423,Disgust
424,Disgust
425,Disgust
426,Disgust
427,Disgust
428,Disgust
429,Disgust
430,Disgust
431,Disgust
432,Disgust
433,Disgust
434,Sad
435,Sad
436,Sad
437,Neutral
438,Neutral
439,Neutral
440,Neutral
441,Neutral
442,Neutral
443,Neutral
444,Neutral
445,Neutral
446,Neutral
447,Neutral
448,Neutral
449,Neutral
450,Neutral
451,Neutral
452,Neutral
453,Neutral
454,Neutral
455,Neutral
456,Neutral
457,Neutral
458,Neutral
459,Neutral
460,Neutral
461,Fear
