Frame,Emotion,Arousal,Valence
0,Neutral,-0.029091775,-0.33098724
1,Neutral,-0.042975366,-0.3185001
2,Neutral,-0.019047648,-0.34494528
3,Neutral,-0.014282167,-0.3614014
4,Neutral,-0.0641557,-0.36404157
5,Neutral,-0.062820375,-0.40068662
6,Neutral,-0.018626362,-0.31313047
7,Neutral,-0.02160883,-0.34021857
8,Neutral,-0.02001211,-0.3405024
9,Neutral,-0.062370718,-0.31957126
10,Neutral,-0.11193934,-0.33832452
11,Neutral,-0.07256153,-0.35765725
12,Neutral,-0.12281707,-0.336418
13,Neutral,-0.058069497,-0.34600064
14,Neutral,-0.04210797,-0.36457422
15,Neutral,-0.023328245,-0.37212148
16,Neutral,-0.07428646,-0.34549692
17,Neutral,-0.049987525,-0.36468318
18,Neutral,-0.039287627,-0.37031025
19,Neutral,-0.054085493,-0.36151442
20,Neutral,-0.05501616,-0.337858
21,Neutral,-0.009657443,-0.34414956
22,Neutral,0.0041371286,-0.34160748
23,Neutral,-0.026207149,-0.34555736
24,Neutral,-0.025334537,-0.33693716
25,Neutral,0.020766437,-0.33434883
26,Neutral,-0.011358082,-0.32078624
27,Neutral,0.014829248,-0.32436445
28,Neutral,0.017401934,-0.3256744
29,Neutral,0.021301746,-0.31170893
30,Neutral,0.0150666535,-0.32538942
31,Neutral,0.08358386,-0.3188494
32,Neutral,0.08168462,-0.31976858
33,Neutral,0.081240594,-0.31824943
34,Neutral,0.08247548,-0.3249415
35,Neutral,0.08074993,-0.31567088
36,Neutral,0.06862104,-0.30217788
37,Neutral,0.07400027,-0.3118358
38,Neutral,0.082387716,-0.33772263
39,Neutral,0.049969733,-0.3387948
40,Neutral,0.03022629,-0.31245443
41,Neutral,0.018912345,-0.31214002
42,Neutral,0.01720339,-0.2932723
43,Neutral,-0.019954652,-0.26993802
44,Neutral,-0.01780057,-0.25045648
45,Neutral,0.0035191774,-0.27695033
46,Neutral,-0.070019335,-0.26014546
47,Neutral,-0.07211587,-0.23193756
48,Neutral,-0.035618067,-0.2368046
49,Neutral,-0.043144584,-0.24933594
50,Neutral,-0.042953253,-0.267106
51,Neutral,-0.019600421,-0.24503833
52,Neutral,0.02971512,-0.29337147
53,Neutral,-0.021342993,-0.27259728
54,Neutral,-0.035929143,-0.26818416
55,Neutral,-0.021034628,-0.2448242
56,Neutral,0.008167297,-0.28095505
57,Neutral,-0.026363164,-0.2973202
58,Neutral,-0.024113834,-0.29750904
59,Neutral,-0.025367588,-0.26217985
60,Neutral,-0.007942438,-0.2830558
61,Neutral,-0.021199048,-0.25845274
62,Neutral,-0.009851813,-0.2863194
63,Neutral,-0.04936585,-0.29550305
64,Neutral,-0.06671888,-0.27294964
65,Neutral,-0.0031418204,-0.28257707
66,Neutral,-0.04010126,-0.26294312
67,Neutral,0.09086275,-0.27074158
68,Contempt,0.25456852,-0.2353315
69,Happy,0.17294562,0.15619422
70,Happy,-0.008988768,0.73736525
71,Happy,0.014784336,0.7291226
72,Happy,0.018204689,0.7746948
73,Happy,0.03573227,0.7642268
74,Happy,0.03906414,0.77991164
75,Happy,0.04649809,0.7729894
76,Happy,0.03800255,0.8016463
77,Happy,0.044104725,0.79968023
78,Happy,0.041573703,0.800272
79,Happy,0.04299426,0.79811466
80,Happy,0.037062228,0.8391727
81,Happy,0.0504542,0.8071717
82,Happy,0.049122006,0.808874
83,Happy,0.044589132,0.825301
84,Happy,0.04364723,0.82962286
85,Happy,0.03799674,0.84932256
86,Happy,0.03800583,0.8381553
87,Happy,0.033907473,0.8409965
88,Happy,0.034309536,0.8214098
89,Happy,0.032161653,0.8354556
90,Happy,0.03659305,0.82155704
91,Happy,0.04249817,0.8342302
92,Happy,0.042210698,0.8204057
93,Happy,0.034492195,0.83930695
94,Happy,0.032255918,0.8388746
95,Happy,0.025053322,0.86700577
96,Happy,0.03350413,0.845303
97,Happy,0.033596724,0.8529248
98,Happy,0.030537963,0.8631646
99,Happy,0.032603145,0.85178083
100,Happy,0.029884428,0.86751103
101,Happy,0.03836605,0.84667826
102,Happy,0.042675823,0.8260048
103,Happy,0.037670672,0.84606194
104,Happy,0.03699416,0.84368366
105,Happy,0.035286546,0.8541014
106,Happy,0.036102682,0.85018164
107,Happy,0.034418464,0.85199654
108,Happy,0.03520018,0.8569448
109,Happy,0.03742051,0.85053873
110,Happy,0.033966124,0.8660109
111,Happy,0.041138947,0.841216
112,Happy,0.043361843,0.83221495
113,Happy,0.04134327,0.83322686
114,Happy,0.050338864,0.79777503
115,Happy,0.05317393,0.78868914
116,Happy,0.051776946,0.7986796
117,Happy,0.037617058,0.8396163
118,Happy,0.035509676,0.84451413
119,Happy,0.034524024,0.85137564
120,Happy,0.022521228,0.8664608
121,Happy,0.027064413,0.86803347
122,Happy,0.026506305,0.8692188
123,Happy,0.037067592,0.8475435
124,Happy,0.04151979,0.8409567
125,Happy,0.038796067,0.8432485
126,Happy,0.041817248,0.84036803
127,Happy,0.051393926,0.79659575
128,Happy,0.050445855,0.8024367
129,Happy,0.04936689,0.7995972
130,Happy,0.052676857,0.7916919
131,Happy,0.056208193,0.7905406
132,Happy,0.05985588,0.77856815
133,Happy,0.049518764,0.7964392
134,Happy,0.056696415,0.7805604
135,Happy,0.048706174,0.7956131
136,Happy,0.049981445,0.7973074
137,Happy,0.04343486,0.81062526
138,Happy,0.044828266,0.81415975
139,Happy,0.04519388,0.8245431
140,Happy,0.04501015,0.82612944
141,Happy,0.046663642,0.81855524
142,Happy,0.050235927,0.8111244
143,Happy,0.052331,0.802477
144,Happy,0.049612373,0.80791676
145,Happy,0.05042416,0.80177325
146,Happy,0.061579585,0.7793279
147,Happy,0.06447363,0.7691941
148,Happy,0.06562841,0.7856653
149,Happy,0.05323267,0.8191439
150,Happy,0.07803655,0.758399
151,Happy,0.032461345,0.8468337
152,Happy,0.038144946,0.83350754
153,Happy,0.010939717,0.78084135
154,Happy,0.013298094,0.031740822
155,Neutral,-0.061863005,-0.16910863
156,Neutral,-0.08583826,-0.27125272
157,Neutral,-0.05987203,-0.3828443
158,Neutral,-0.054484487,-0.40110153
159,Sad,-0.08152759,-0.40885463
160,Neutral,-0.09171355,-0.3896242
161,Neutral,-0.06145239,-0.3760871
162,Neutral,-0.05706519,-0.37752652
163,Neutral,-0.057831943,-0.37248623
164,Neutral,-0.04455942,-0.36577097
165,Neutral,-0.023893863,-0.34549606
166,Neutral,-0.0074943006,-0.3229035
167,Neutral,-0.019281924,-0.32628694
168,Neutral,-0.037831485,-0.3444806
169,Neutral,-0.049538136,-0.3204699
170,Neutral,-0.035823554,-0.34285215
171,Neutral,-0.051352024,-0.32878616
172,Neutral,-0.056388617,-0.34013158
173,Neutral,-0.036899626,-0.34837466
174,Neutral,-0.042726934,-0.34681943
175,Neutral,-0.054452002,-0.33669475
176,Neutral,-0.005513221,-0.33640325
177,Neutral,-0.037101388,-0.312144
178,Neutral,-0.0068854094,-0.34086838
179,Neutral,-0.012301743,-0.32013008
180,Neutral,0.007161021,-0.28154567
181,Neutral,0.014748901,-0.2869877
182,Neutral,0.029065162,-0.29805988
183,Neutral,0.024318248,-0.29884592
184,Neutral,0.035722643,-0.33434263
185,Neutral,0.025040329,-0.3237851
186,Neutral,0.015407652,-0.30503336
187,Neutral,-0.02726999,-0.30574265
188,Neutral,0.016088784,-0.33968443
189,Neutral,0.024716645,-0.34179813
190,Neutral,0.016606987,-0.3566047
191,Neutral,0.0011164546,-0.3347483
192,Neutral,0.0028094053,-0.35091743
193,Neutral,-0.028712213,-0.33507636
194,Neutral,-0.010711372,-0.3210366
